,county,Population,cases,Minority_pct,Hotspot
548,Iredell,192986.0,19317,0.2535,False
549,Jackson,41919.0,3664,0.2246,False
550,Johnston,224833.0,22335,0.3406,False
551,Jones,9076.0,901,0.3603,False
552,Lee,64360.0,6172,0.393,False
553,Lenoir,54323.0,6278,0.5081,False
554,Lincoln,88742.0,10297,0.1624,False
555,Macon,37041.0,3171,0.1328,False
556,Madison,21146.0,1604,0.0859,False
557,Martin,21503.0,2330,0.4724,False
558,McDowell,44151.0,5294,0.1396,False
559,Mecklenburg,1128426.0,114907,0.5333,False
560,Mitchell,14783.0,1479,0.0832,False
561,Montgomery,25485.0,3389,0.3431,False
562,Moore,102966.0,9077,0.2278,False
563,Nash,96101.0,11732,0.5011,False
564,New Hanover,230423.0,19581,0.2431,False
565,Northampton,16953.0,1895,0.6042,False
566,Onslow,207928.0,17935,0.33,False
567,Orange,148331.0,8613,0.3336,False
568,Pamlico,12215.0,1118,0.2493,False
569,Pasquotank,40966.0,3453,0.4572,False
570,Pender,62250.0,5563,0.2475,False
571,Perquimans,13049.0,1034,0.2763,False
572,Person,39048.0,3524,0.3464,False
573,Pitt,173536.0,20552,0.4785,False
574,Polk,19461.0,1501,0.1239,False
575,Randolph,143325.0,15370,0.2269,False
576,Richmond,43006.0,4852,0.4419,False
577,Robeson,115899.0,16934,0.7422,False
578,Rockingham,90457.0,8106,0.2817,False
579,Rowan,148565.0,17300,0.3008,False
580,Rutherford,63870.0,7457,0.1806,False
581,Sampson,58371.0,8177,0.4706,False
582,Scotland,33662.0,3914,0.5786,False
583,Stanly,62143.0,7946,0.2137,False
584,Stokes,44422.0,4233,0.1023,False
585,Surry,70573.0,8421,0.1689,False
586,Swain,14046.0,1210,0.3881,False
587,Transylvania,32825.0,2386,0.1221,False
588,Tyrrell,3315.0,326,0.4136,False
589,Union,244960.0,24986,0.3051,False
590,Vance,41665.0,4998,0.6082,False
591,Wake,1154170.0,90468,0.4122,False
592,Warren,18621.0,1817,0.6109,False
593,Washington,10708.0,1141,0.5457,False
594,Watauga,54804.0,5026,0.1546,False
595,Wayne,115895.0,11533,0.4677,False
596,Wilkes,65151.0,6957,0.1344,False
597,Wilson,79078.0,9947,0.526,False
598,Yadkin,36925.0,4140,0.1712,False
599,Yancey,18320.0,1640,0.0868,False
600,Alamance,175029.0,19069,0.3825,False
601,Alexander,36172.0,4459,0.1416,False
602,Alleghany,11057.0,1098,0.1234,False
603,Anson,22028.0,2639,0.5152,False
604,Ashe,26506.0,2253,0.0806,False
605,Avery,17347.0,2165,0.1157,False
606,Beaufort,44150.0,4799,0.3322,False
607,Bertie,17302.0,1797,0.6465,False
608,Bladen,29171.0,3528,0.4561,False
609,Brunswick,144821.0,9382,0.1784,False
610,Buncombe,271638.0,18128,0.1877,False
611,Burke,88398.0,10160,0.2044,False
612,Cabarrus,232873.0,22446,0.3899,False
613,Caldwell,81319.0,9531,0.1462,False
614,Camden,10537.0,696,0.1973,False
615,Carteret,69039.0,5263,0.1393,False
