,date,county,state,fips,cases,deaths,Population,casesprop,deathsprop,dailycase,weeklycase,dailydeath,weeklydeath,weeklyper100k,tranlevel,Minority_pct,region
86,2021-07-01,Swain,North Carolina,37173.0,1210,18.0,14046.0,0.0861,0.0013,0.0,0.0,0.0,0.0,0.0,Low,0.3881,Western
87,2021-07-01,Transylvania,North Carolina,37175.0,2386,33.0,32825.0,0.0727,0.001,0.0,0.0,0.0,0.0,0.0,Low,0.12209999999999999,Western
88,2021-07-01,Tyrrell,North Carolina,37177.0,326,6.0,3315.0,0.0983,0.0018,0.0,0.0,0.0,0.0,0.0,Low,0.41359999999999997,Coastal
89,2021-07-01,Union,North Carolina,37179.0,24933,225.0,244960.0,0.1018,0.0009,0.0,0.0,0.0,0.0,0.0,Low,0.30510000000000004,Central
90,2021-07-01,Vance,North Carolina,37181.0,4995,90.0,41665.0,0.1199,0.0022,0.0,0.0,0.0,0.0,0.0,Low,0.6082000000000001,Eastern
91,2021-07-01,Wake,North Carolina,37183.0,90342,737.0,1154170.0,0.0783,0.0006,0.0,0.0,0.0,0.0,0.0,Low,0.4122,Eastern
92,2021-07-01,Warren,North Carolina,37185.0,1819,20.0,18621.0,0.0977,0.0011,0.0,0.0,0.0,0.0,0.0,Low,0.6109,Eastern
93,2021-07-01,Washington,North Carolina,37187.0,1140,32.0,10708.0,0.1065,0.003,0.0,0.0,0.0,0.0,0.0,Low,0.5457000000000001,Coastal
94,2021-07-01,Watauga,North Carolina,37189.0,5025,33.0,54804.0,0.0917,0.0006,0.0,0.0,0.0,0.0,0.0,Low,0.15459999999999996,Northern
95,2021-07-01,Wayne,North Carolina,37191.0,11492,245.0,115895.0,0.0992,0.0021,0.0,0.0,0.0,0.0,0.0,Low,0.4677,Coastal
96,2021-07-01,Wilkes,North Carolina,37193.0,6952,118.0,65151.0,0.1067,0.0018,0.0,0.0,0.0,0.0,0.0,Low,0.13439999999999996,Northern
97,2021-07-01,Wilson,North Carolina,37195.0,9924,181.0,79078.0,0.1255,0.0023,0.0,0.0,0.0,0.0,0.0,Low,0.526,Coastal
98,2021-07-01,Yadkin,North Carolina,37197.0,4136,55.0,36925.0,0.112,0.0015,0.0,0.0,0.0,0.0,0.0,Low,0.17120000000000002,Northern
99,2021-07-01,Yancey,North Carolina,37199.0,1640,28.0,18320.0,0.0895,0.0015,0.0,0.0,0.0,0.0,0.0,Low,0.08679999999999999,Western
100,2021-07-02,Alamance,North Carolina,37001.0,19042,289.0,175029.0,0.1088,0.0017,7.0,0.0,0.0,0.0,0.0,Low,0.38249999999999995,Northern
101,2021-07-02,Alexander,North Carolina,37003.0,4456,84.0,36172.0,0.1232,0.0023,0.0,0.0,0.0,0.0,0.0,Low,0.14159999999999995,Northern
102,2021-07-02,Alleghany,North Carolina,37005.0,1095,5.0,11057.0,0.099,0.0005,0.0,0.0,0.0,0.0,0.0,Low,0.12339999999999995,Northern
103,2021-07-02,Anson,North Carolina,37007.0,2638,56.0,22028.0,0.1198,0.0025,1.0,0.0,0.0,0.0,0.0,Low,0.5152,Central
104,2021-07-02,Ashe,North Carolina,37009.0,2252,45.0,26506.0,0.085,0.0017,4.0,0.0,0.0,0.0,0.0,Low,0.0806,Northern
105,2021-07-02,Avery,North Carolina,37011.0,2164,21.0,17347.0,0.1247,0.0012,0.0,0.0,0.0,0.0,0.0,Low,0.11570000000000003,Western
106,2021-07-02,Beaufort,North Carolina,37013.0,4791,102.0,44150.0,0.1085,0.0023,2.0,0.0,0.0,0.0,0.0,Low,0.33220000000000005,Coastal
